NAME,Total Enrollment,Total Revenue
ALBIA COMMUNITY SCHOOL DISTRICT,1198,16013
ALBION CENTRAL SCH DIST,1880,37586
ALBION SCH DIST 2,45,748
ALBUQUERQUE SCH DIST,89788,1072664
ALBURG TOWN SCH DIST,228,5975
ALBURNETT COMMUNITY SCHOOL DISTRICT,711,8984
ALCESTER-HUDSON SCHOOL DISTRICT 61-1,389,4917
ALCOA CITY SCH DIST,2095,24223
ALCONA COMM SCHS,686,8735
ALCORN COUNTY SCHOOL DISTRICT,3220,31309
ALDEN CENTRAL SCH DIST,1578,33986
ALDEN COMMUNITY SCHOOL DISTRICT,170,3884
ALDEN IND SCH DIST 242,507,7139
ALDEN-HEBRON COMMUNITY CONSOLIDATED SCHOOL DISTRICT 19,420,8154
ALDER-UPPER RUBY ELEM DIST 2,24,329
ALDINE IND SCH DISTRICT 902,66854,782467
ALEDO IND SCH DIST 907,6129,74336
ALEUTIAN REGION SCHOOL DISTRICT,18,1584
ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,235,10184
ALEX SCH DIST 56,325,7254
ALEXANDER CENTRAL SCH,837,18271
ALEXANDER CITY SCHOOL DISTRICT,3065,35071
ALEXANDER CO SCHS,4865,49412
ALEXANDER LOCAL SCH DIST,1494,20709
ALEXANDER SCHOOL DISTRICT #2,268,6219
ALEXANDER TOWN SCHOOLS,44,1063
ALEXANDER VAL UNION ELEM SCH DIST,110,2916
ALEXANDRIA CENTRAL SCH DIST,520,13451
ALEXANDRIA CITY SCHOOLS,15966,297248
ALEXANDRIA COMMUNITY SCHOOL CORPORATION,1540,18211
ALEXANDRIA SCH DIST 206,4191,62727
ALEXANDRIA TWP SCH DIST,483,12434
ALFRED-ALMOND CENTRAL SCH DIST 1,626,14228
ALGOMA SCHOOL DISTRICT,706,10035
ALGONA COMMUNITY SCHOOL DISTRICT,1479,21778
ALGONAC COMM SCH DIST 1,1474,19538
ALHAMBRA SCHOOL DISTRICT 68,12551,113759
ALHAMBRA UNIFIED SCHOOL DISTRICT,16531,320005
ALICE IND SCH DIST 901,4940,56360
ALIEF IND SCH DIST 903,45436,553929
ALINE-CLEO SCH DIST 4,130,2544
ALIQUIPPA SCHOOL DISTRICT,1010,24386
ALISAL UNION SCHOOL DISTRICT,8605,133797
ALLAMAKEE COMMUNITY SCHOOL DISTRICT,1149,15945
ALLAMUCHY TWP SCH DIST,434,11909
ALLEGAN PUBLIC SCHOOLS,2423,31211
ALLEGANY COUNTY PUBLIC SCHOOLS,8539,139966
ALLEGANY-LIMESTONE CSD,1205,25267
ALLEGENY-CLARION VALLEY SCHOOL DIST,691,15803
ALLEGHANY CO SCH DIST,1416,17754
ALLEGHANY HIGHLANDS PUBLIC SCHOOLS,2084,29088
ALLEGHENY VALLEY SCH DIST,932,24601
ALLEN BOWDEN SCH DIST 35,330,3324
ALLEN CO SCH DIST,3071,35061
ALLEN EAST LOCAL SCH DIST,1138,13143
ALLEN IND SCH DIST 901,21557,276255
ALLEN PARISH SCHOOL DISTRICT,4253,53069
ALLEN PARK PUB SCH DIST,3829,47499
ALLEN SCH DIST 1,531,6239
ALLEN SCH DIST 70,163,3859
ALLENDALE BORO SCH DIST,883,19907
ALLENDALE COMMUNITY CONSOLIDATED SCHOOL DISTRICT 17,149,1896
ALLENDALE COUNTY SCHOOL DISTRICT 1,1120,23204
ALLENDALE SCH DIST,2700,37214
ALLEN-OTTER CREEK COMMUNITY CONSOLIDATED SCHOOL DISTRICT 65,67,1845
ALLENSTOWN SCHOOL DISTRICT,359,9803
ALLENSWORTH ELEM SCH DIST,88,1270
ALLENTOWN CITY SCH DIST,16946,333804
ALLIANCE CITY SCH DIST,3086,45213
ALLIANCE CITY SCH DIST 6,1385,17802
ALLOWAY TWP SCH DIST,365,9427
ALMA CENTER SCHOOL DISTRICT,607,9333
ALMA SCH DIST 2,353,5702
ALMA SCH DIST 30,3244,32994
ALMA SCHOOL DISTRICT,246,4282
ALMA SCHOOL DISTRICT,2095,26739
ALMIRA SCHOOL DISTRICT 17,116,3284
ALMOND-BANCROFT SCHOOL DISTRICT,398,6737
ALMONT COMM SCH DIST 12,1456,17650
ALPAUGH UNIFIED SCH DIST,323,5681
ALPENA PUBLIC SCHOOLS,3753,45146
ALPENA SCH DIST 5,545,5274
ALPHA BORO SCH DIST,211,6126
ALPINE CO UNIF SCH DIST,79,3609
ALPINE IND SCH DIST 901,1014,13278
ALPINE PUBLIC SCH DIST,138,7761
ALPINE SCH DIST,81715,709831
ALPINE SCHOOL DISTRICT 7,54,1544
ALPINE UNION ELEM SCH DIST,1612,21784
ALSEA SCH DIST 7J,226,4276
ALSIP-HAZLGRN-OAKLAWN SCHOOL DISTRICT 126,1580,32866
ALTA COMMUNITY SCHOOL DISTRICT,827,11537
ALTA DUTCH FLAT UNION ELEM SCH DIST,99,1402
ALTA LOMA ELEM SCH DIST,6050,74461
ALTA VISTA ELEM SCH DIST,574,8263
ALTAMONT COMMUNITY UNIT SCHOOL DISTRICT 10,640,9037
ALTAR VALLEY SCHOOL DISTRICT 51,639,8888
ALTENBURG SCH DIST 48,98,1476
ALTMAR PARISH WILLIAMSTWN CENTRAL SCH DIST,1191,36008
ALTO IND SCH DIST 901,664,8693
ALTON COMMUNITY SCHOOL DISTRICT 11,6177,100757
ALTON SCH DIST R 4,723,6995
ALTON TOWN SCH DIST,427,15912
ALTOONA AREA SCH DIST,7517,110820
ALTOONA SCHOOL DISTRICT,1599,23458
ALTOONA-MIDWAY UNIFIED SCHOOL DISTRICT 387,191,3206
ALTUS SCH DIST 18,3345,29833
ALUM ROCK UNION ELEM SCH DIST,9623,171175
ALVA SCH DIST 1,1044,14384
ALVARADO IND SCH DIST 901,3635,42574
ALVIEW DAIRYLAND UNION ELEMENTARY,402,4834
ALVIN IND SCH DIST 901,25945,307515
ALVINA ELEM SCH DIST,203,2408
ALVORD IND SCH DIST 901,727,9817
ALVORD UNIF SCH DIST,18504,274383
ALWOOD COMMUNITY UNIT SCHOOL DISTRICT 225,390,6893
ALZADA ELEM DIST 56,5,120
AMADOR CO SPL SCHS OPER BY CO SUPT,193,17737
AMADOR CO UNIF SCH DIST,3962,49936
AMAGANSETT UNION FREE SCHOOL DISTRICT,86,10148
AMANDA CLEARCREEK LOCAL SCH DIST,1450,17785
AMARILLO INDEPENDENT SCH DIST,32829,335539
AMBER-POCASSET SCH DIST 128,510,5831
AMBOY COMMUNITY UNIT SCHOOL DISTRICT 272,721,12983
AMBRIDGE AREA SCH DIST,2397,50038
AMELIA COUNTY SCHOOL,1761,18356
AMERICAN FALLS SCHOOL DISTRICT 381,1472,15955
AMERY SCHOOL DISTRICT,1554,25074
AMES COMMUNITY SCHOOL DISTRICT,4925,77446
AMESBURY PUBLIC SCHOOLS,2058,42558
AMHERST CENTRAL SCHOOL DIST,3002,61998
AMHERST COUNTY SCHOOL,4078,49788
AMHERST EX VLG SCH DIST,3554,50485
AMHERST IND SCH DIST 901,142,2149
AMHERST PUBLIC SCHOOL,1131,30417
AMHERST SCH DIST 119,390,5384
AMHERST SCHOOL DISTRICT,1319,27641
AMHERST-PELHAM REG SCH DIST,1340,38376
AMITE COUNTY SCHOOL DISTRICT,908,14596
AMITY SCH DIST 4J,845,10734
AMITYVILLE UF SCH DIST,3115,95342
AMORY MUN SEP SCH DIST,1635,15963
AMPHITHEATER SCHOOL DISTRICT 10,13658,138321
AMSTERDAM ELEM DIST 75,139,1557
AMSTERDAM SCH DIST,3994,83039
ANACONDA ELEM SCH DIST 10,764,10045
ANACONDA H S DIST 10,311,4330
ANACORTES SCHOOL DISTRICT 103,2805,48751
ANADARKO SCH DIST 20,1617,17890
ANAHEIM ELEM SCH DIST,16691,261982
ANAHEIM UNION HIGH SCHOOL DIST,30292,472492
ANAHUAC IND SCH DIST 901,1325,18035
ANAMOOSE SCH DIST 14,85,1701
ANAMOSA COMMUNITY SCHOOL DISTRICT,1271,18974
ANCHOR BAY SCHOOL DIST,5938,75013
ANCHORAGE IND SCH DIST,371,8724
ANCHORAGE SCHOOL DISTRICT,46115,763689
ANDALUSIA CITY SCHOOL DISTRICT,1794,22822
ANDERSON CO SCH DIST,3717,41741
ANDERSON CO SCH DIST,6481,76277
ANDERSON CO SCH DIST 1,10211,112872
ANDERSON CO SCH DIST 2,3771,44836
ANDERSON CO SCH DIST 3,2599,34069
ANDERSON CO SCH DIST 4,2843,43978
ANDERSON CO SCH DIST 5,13227,167818
ANDERSON COMMUNITY SCHOOL CORPORATION,6874,109461
ANDERSON ELEM DIST 41,207,2610
ANDERSON SCH DIST 52,324,2946
ANDERSON UNION HIGH SCHOOL DIST,1737,25202
ANDERSON VALLEY UNIFIED SCH DIST,490,9523
ANDERSON-SHIRO CONS SCH DIST 901,879,11346
ANDES CENTRAL SCH DIST,79,4501
ANDES CENTRAL SCHOOL DISTRICT 11-1,348,6843
ANDOVER CENTRAL SCH DIST,311,10851
ANDOVER PUBLIC SCHOOLS,31,1095
ANDOVER REG SCH DIST,450,18691
ANDOVER TOWN SCH DIST,236,5440
ANDOVER TOWN SCHOOLS,191,5213
ANDOVER TOWN SCHS,5957,133390
ANDOVER UNIFIED SCHOOL DISTRICT 385,8825,77606
ANDREW COMMUNITY SCHOOL DISTRICT,172,4123
ANDREWS IND SCH DIST 901,4319,63561
ANGELICA-BELMONT CENTRAL SCHOOL DISTRICT,513,16976
ANGLETON IND SCH DIST 902,6767,83539
ANIMAS SCHOOL DISTRICT,177,3128
ANKENY COMMUNITY SCHOOL DISTRICT,12128,167302
ANN ARBOR CITY SCH DIST 1,18054,311994
ANNA COMMUNITY CONSOLIDATED SCHOOL DISTRICT 37,695,8712
ANNA IND SCH DIST 902,3597,47850
ANNA JONESBORO COMMUNITY SCHOOL DISTRICT 81,523,8155
ANNA LOCAL SCH DIST,1154,20853
ANNANDALE SCH DIST 876,1974,26668
ANNAWAN COMMUNITY UNIT SCHOOL DISTRICT 226,358,6075
ANNE ARUNDEL CO SCHS,83300,1375032
ANNETTE ISLAND REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),302,12421
ANNEX SCH DIST 29,105,1810
ANNISTON CITY SCHOOL DISTRICT,1947,24781
ANNVILLE CLEONA SCH DIST,1451,25351
ANOKA-HENNEPIN JT SCH DIST 11,38802,572610
ANSELMO-MERNA SCH DIST 15,292,4925
ANSLEY SCH DIST 44,179,4005
ANSON CO SCH,3175,38046
ANSON IND SCH DIST 901,749,9707
ANSONIA LOCAL SCH DIST,793,10608
ANSONIA PUBLIC SCHOOLS,2305,47227
ANTELOPE ELEM SCH DIST,856,10370
ANTELOPE UNION HIGH SCHOOL DISTRICT 50,222,3415
ANTELOPE VALLEY UNION HIGH SCHOOL DISTRICT,21642,329962
ANTHONY HARPER UNIFIED SCHOOL DISTRICT 361,845,11614
ANTHONY IND SCHOOL DISTRICT 906,843,10884
ANTHONY WAYNE LOCAL SCHOOL DIST,4282,52097
ANTIETAM SCHOOL DIST,1160,19659
ANTIGO UNIFIED SCHOOL DISTRICT,2262,31070
ANTIOCH COMMUNITY CONSOLIDATED SCHOOL DISTRICT 34,2777,50669
ANTIOCH COMMUNITY HIGH SCHOOL DISTRICT 117,2713,70704
ANTIOCH UNIFIED SCH DIST,16362,236459
ANTLERS SCH DIST 13,1021,9390
ANTON IND SCH DIST 901,199,3837
ANTWERP LOCAL SCH DIST,719,10168
APACHE JUNCTION UNIFIED SCHOOL DISTRICT 43,3404,32533
APACHE SCHOOL DISTRICT 42,5,208
APLINGTON PARKERSBURG COMMUNITY SCHOOL DISTRICT,882,11497
APOLLO-RIDGE SCH DIST,1170,24637
APPLE CREEK SCH DIST 39,52,1064
APPLE SPRINGS IND SCHOOL DIST 905,202,2387
APPLE VALLEY UNIF SCH DIST,13196,180495
APPLETON AREA SCHOOL DISTRICT,16291,210358
APPLETON CITY SCH DIST R2,337,3909
APPLETON VILLAGE SCHOOLS,154,2600
APPLING CO SCH DIST,3585,46532
APPOMATTOX COUNTY SCHOOLS,2221,23627
APPOQUINIMINK SCHOOL  DISTRICT,11317,228490
APTAKISKIC-TRIPP COMMUNITY CONSOLIDATED SCHOOL DISTRICT 102,2412,44863
AQUILLA IND SCH DIST 912,335,4298
AR WE VA COMMUNITY SCHOOL DISTRICT,220,4687
ARAB CITY SCHOOL DISTRICT,2632,27106
ARANSAS CO IND SCH DIST 901,2829,47724
ARANSAS PASS IND SCH DIST 901,1556,20362
ARAPAHO SCH DIST 5,464,5550
ARAPAHOE SCHOOL DISTRICT 18,357,5234
ARBON SCHOOL DISTRICT 383,17,341
ARBOR PARK SCHOOL DISTRICT 145,1296,23374
ARCADIA LOCAL SCH DIST,592,8904
ARCADIA SCHOOL DISTRICT,1302,31205
ARCADIA UNIFIED SCHOOL DISTRICT,9357,129509
ARCADIA VALLEY SCHOOL DIST R-2,954,12196
ARCADIA VIL SCH DIST 21,125,2664
ARCANUM BUTLER SCH DIST,1213,14826
ARCATA ELEM SCH DIST,1129,16947
ARCHBOLD AREA LOCAL SCH DIST,1214,17118
ARCHER CITY IND SCH DIST 901,505,7517
ARCHULETA CO SCHOOL DIST 50,1706,21011
ARCOHE UNION ELEM SCH DIST,455,5790
ARCOLA COMMUNITY UNIT SCHOOL DISTRICT 306,717,11888
ARDMORE SCH DIST 19,2840,33742
ARDSLEY UF SCH DIST,2261,70151
ARGENTA COMMUNITY UNIT SCHOOL DISTRICT 1,963,13185
ARGO COMMUNITY HIGH SCHOOL DISTRICT 217,1923,50824
ARGONIA PUBLIC SCHOOL DISTRICT 359,178,3048
ARGOS COMMUNITY SCHOOLS,662,7701
ARGYLE CENTRAL SCHOOL DISTRICT,498,12882
ARGYLE INDEPENDENT SCH DISTRICT 910,3061,42198
ARGYLE SCHOOL DISTRICT,292,5006
ARICKAREE SCHOOL DIST R 2,117,2500
ARKADELPHIA SCH DIST,1806,24117
ARKANSAS CITY UNIFIED SCHOOL DISTRICT 470,2896,36436
ARKOMA SCH DIST 91,406,3836
ARKPORT CENTRAL SCHOOL DIST,454,11995
ARLEE ELEM SCH DIST JT & 8,321,5479
ARLEE H S DIST JT & 8,124,3371
ARLINGTON CENTRAL SCH DIST,8141,214641
ARLINGTON COMMUNITY SCHOOLS DISTRICT,4720,49581
ARLINGTON COUNTY PUBLIC SCHOOLS,27434,623525
ARLINGTON HEIGHTS SCHOOL DISTRICT 25,5571,97591
ARLINGTON INDEPENDENT SCHOOL,59900,678300
ARLINGTON LOCAL SCH DIST,574,7835
ARLINGTON PUBLIC SCH DIST 24,700,10057
ARLINGTON PUBLIC SCHOOLS,5939,105694
ARLINGTON SCH DIST 3,164,3782
ARLINGTON SCHOOL DISTRICT 16,5829,90422
ARLINGTON SCHOOL DISTRICT 38-1,275,4434
ARLINGTON SCHOOL DISTRICT 47,248,2684
ARLINGTON TOWN SCH DIST,402,7154
ARMADA AREA SCH DIST,1762,21507
ARMONA UNION ELEMENTARY SCHOOL DISTRICT,1137,18311
ARMOREL SCHOOL DIST,420,6384
ARMOUR SCHOOL DISTRICT 21-1,178,2707
ARMSTRONG ELLIS C SCHOOL DISTRICT 61,73,1922
ARMSTRONG SCHOOL DIST,5083,102743
ARMSTRONG TOWNSHIP HIGH SCHOOL DISTRICT 225,134,2967
ARNETT SCH DIST 3,173,5813
ARNOLD SCH DIST 89,175,3734
AROCK SCH DIST 81,21,492
AROMAS/SAN JUAN UNIFIED SCHOOL DISTRICT,1087,16631
ARP IND SCH DIST 901,869,11215
ARRIBA-FLAGLER CSD #20,159,2928
ARROWHEAD ELEM DIST 75,67,980
ARROWHEAD UNIFIED HIGH SCHOOL DISTRICT,2139,31594
ARTESIA SCH DIST,3857,51115
ARTHUR CO HIGH SCH DIST 500,125,2615
ARTHUR COMMUNITY UNIT SCHOOL DISTRICT 305,1175,17099
ARVIN UNION SCH DIST,3087,48226
ARVON TWP SCH DIST,10,338
ASBURY PARK SCHOOL DISTRICT,2078,84703
ASCENSION PARISH SCHOOL DISTRICT,22537,303973
ASH CREEK SCHOOL DISTRICT 53,16,704
ASH FORK UNIFIED SCHOOL DISTRICT 31,267,4289
ASH GROVE SCH DIST R 4,692,7061
ASHBURNHAM-WESTMINISTER REG SCHOOL DIST,2354,37900
ASHBY SCH DIST 261,293,4217
ASHDOWN SCH DIST 31,1395,15753
ASHE CO SCH,3049,34615
ASHEBORO CITY SCHOOLS,4485,47627
ASHER SCH DIST 112,285,2903
ASHEVILLE CITY SCHOOLS,4435,60524
ASHFORD TOWN SCHOOLS,409,9611
ASHLAND CITY SCH DIST,3192,42792
ASHLAND ELEM DIST 32J,68,1970
ASHLAND INDEP SCH DIST,3383,42843
ASHLAND PUBLIC SCH,2845,48485
ASHLAND SCH DIST 5,2966,40325
ASHLAND SCHOOL DISTRICT,2093,32048
ASHLAND TOWN SCH DIST,150,3527
ASHLAND UNIFIED SCHOOL DISTRICT 220,218,3649
ASHLAND-CHANDLERVILLE COMMUNITY UNIT SCHOOL DISTRICT 262,412,6319
ASHLAND-GREENWOOD SCH DIST 1,964,12223
ASHLEY COMM SCH DIST,259,3554
ASHLEY COMMUNITY CONSOLIDATED SCHOOL DISTRICT 15,157,1888
ASHLEY SCH DIST 9,143,2475
ASHTABULA AREA CITY SCHOOL DIST,3422,52200
ASHTON COMMUNITY UNIT SCHOOL DISTRICT 275,495,8756
ASHWAUBENON SCHOOL DISTRICT,3313,37797
ASHWOOD SCH DIST 8,7,362
ASOTIN ANATONE SCHOOL DISTRICT 420,678,9469
ASPEN SCH DIST 1,1670,45674
ASPERMONT IND SCH DIST 901,224,3637
ASSABET VALLEY VOCATIONAL TECH REG SCH,1134,28638
ASSUMPTION PARISH SCHOOL DISTRICT,3354,44520
ASTORIA COMMUNITY UNIT SCHOOL DISTRICT 1,337,5000
ASTORIA SCH DIST IC,1888,25910
ATASCADERO UNIFIED SCHOOL DISTRICT,4738,63594
ATCHISON CITY UNIFIED SCHOOL DISTRICT 409,1691,22657
