NAME,Total Enrollment,Total Revenue
BRADLEY BEACH ELEM SCH DIST,254,9185
BRADLEY CO SCH DIST,10325,95106
BRADLEY ELEMENTARY SCHOOL DISTRICT 61,1426,24393
BRADLEY UNION ELEM SCH DIST,74,1343
BRADLEY-BOURBONNAIS HIGH SCHOOL DISTRICT 307,1961,33194
BRADLEYVILLE SCH DIST R 1,228,2583
BRADY IND SCH DIST 901,1146,15906
BRADY SCH DIST 6,175,4049
BRAGGS SCH DIST 46,153,1841
BRAHAM SCH DIST 314,755,9802
BRAINERD IND SCH DIST 181,6812,105693
BRAINTREE PUBLIC SCHOOLS,5842,130251
BRANCHBURG TWP SCH DIST,1454,52015
BRANDON SCH DIST IN COUNTIES OF OAKLAND & LAPEER,2375,35493
BRANDON VALLEY SCHOOL DISTRICT 49-2,4284,44343
BRANDON-EVANSVILLE PUBLIC SCHOOLS,485,5835
BRANDYWINE COMMUNITY SCHOOLS,1334,16028
BRANDYWINE HTS AREA SCH DIST,1397,32389
BRANDYWINE SCHOOL  DISTRICT,10470,208294
BRANFORD TOWN SCHOOLS,2850,92442
BRANSON REORG SCH DIST 82,468,4344
BRANSON SCH DIST R 4,4809,56417
BRANTLEY CO SCH DIST,3455,42380
BRASHER FALLS CENTRAL SCH DIST,1036,24971
BRATTLEBORO HIGH SCH DIST 6,1087,23826
BRATTLEBORO TOWN SCHOOL DISTRICT,881,18807
BRAWLEY ELEM SCH DIST,4061,60071
BRAWLEY UNION HIGH SCHOOL DIST,1943,29760
BRAXTON CO SCH DIST,2013,24633
BRAY-DOYLE SCHOOL DISTRICT #42,299,4300
BRAYMER SCH DIST C 4,296,3624
BRAZOS INDEPENDENT SCHOOL DISTRICT,827,11593
BRAZOSPORT IND SCH DISTRICT 905,12417,219105
BREA OLINDA UNIFIED SCHOOL DIST,6008,72834
BREATHITT CO SCH DIST,1893,25316
BRECKENRIDGE COMM SCH DIST,668,7889
BRECKENRIDGE IND SCH DIST 901,1481,16175
BRECKENRIDGE SCH DIST 846,643,9694
BRECKENRIDGE SCH DIST R-1,59,1406
BRECKINRIDGE CO SCH DIST,2731,34523
BRECKSVILLE-BROADVIEW HEIGHTS,3801,65847
BREESE ELEMENTARY SCHOOL DISTRICT 12,617,6848
BREITUNG TWP SCH DIST 1,1893,22440
BREMEN CITY SCHOOLS,2296,26948
BREMEN COMMUNITY HIGH SCHOOL DISTRICT 228,4902,129763
BREMEN PUBLIC SCHOOLS,1489,16611
BREMERTON SCHOOL DISTRICT 100 C,5016,90025
BREMOND IND SCH DIST 901,487,6138
BRENHAM IND SCH DIST 901,5062,54512
BRENTWOOD BORO SCH DIST,1226,23797
BRENTWOOD SCH DIST,787,20620
BRENTWOOD SCHOOL DISTRICT,9181,111416
BRENTWOOD TOWN SCH DIST,308,5503
BRENTWOOD UF SCH DIST,18878,429735
BRET HARTE UNION HIGH SCH DIST,652,13807
BREVARD COUNTY SCHOOL DISTRICT,73734,786947
BREWER SCHOOL DEPARTMENT,1661,24314
BREWSTER CENTRAL SCHOOL DIST,3046,99842
BREWSTER SCHOOL DISTRICT 111,1018,18894
BREWSTER TOWN SCHOOLS,478,11916
BREWSTER UNIFIED SCHOOL DISTRICT 314,139,2269
BREWTON CITY SCHOOL DISTRICT,1133,14587
BRIARCLIFF MANOR U F SCH DIST,1432,53377
BRICK TWP SCHOOL DISTRICT,8651,179131
BRIDGE CITY IND SCH DIST 901,3057,30877
BRIDGE CREEK SCH DIST 95,1671,15001
BRIDGEHAMPTON U F SCHOOL DIST,215,16498
BRIDGEPORT CITY PUB SCH DISTRICT 63,456,8463
BRIDGEPORT CITY SCHOOLS,20396,412478
BRIDGEPORT EX VLG SCHOOL DIST,776,11440
BRIDGEPORT IND SCH DIST 903,2078,26520
BRIDGEPORT SCHOOL DISTRICT 75,860,17699
BRIDGEPORT-SPAULDING COMM SCHOOL DIST,1560,17887
BRIDGER K-12 SCHOOL DISTRICT,186,3361
BRIDGETON CITY SCH DIST,6439,128653
BRIDGEVILLE ELEM SCH DIST,29,682
BRIDGEWATER-EMERY SCHOOL DISTRICT 30-3,345,4993
BRIDGEWATER-RARITAN REG SCH DT,8569,184564
BRIDGEWATER-RAYNHAM REGIONAL SCHOOL DIST,5375,89589
BRIDGMAN PUBLIC SCH DIST,908,16283
BRIELLE BORO SCH DIST,528,16271
BRIGANTINE CITY SCHOOL SYSTEM,563,23310
BRIGGS SCH DIST,526,7505
BRIGGS SCH DIST 44,446,4939
BRIGGSDALE RE-10J,181,3985
BRIGHT LOCAL SCH DIST,740,10647
BRIGHTON AREA SCH DIST,5998,100834
BRIGHTON CENTRAL SCH DISTRICT,3657,78962
BRIGHTON SCH DIST 27 J,18741,211660
BRIGHTON TOWN SCH DIST,103,1923
BRIGHTON TOWN SCHOOL DISTRICT 1,226,2516
BRILLION CITY JOINT SCHOOL DISTRICT 2,978,13452
BRIMFIELD COMMUNITY UNIT SCHOOL DISTRICT 309,669,10443
BRIMFIELD TOWN SCH,293,5294
BRIMLEY AREA SCHOOLS,536,7399
BRINKLEY SCH DIST,504,6511
BRINNON SCHOOL DISTRICT 46,88,1595
BRISBANE ELEMENTARY SCHOOL DISTRICT,469,9620
BRISTOL BAY BOROUGH SCHOOL DISTRICT,107,4142
BRISTOL BORO SCH DIST,1225,25817
BRISTOL CITY SCH DIST,4172,47947
BRISTOL CITY SCHOOLS,7836,155747
BRISTOL CITY SCHS,2271,28787
BRISTOL CO AGRIC H SCH DIST,454,10735
BRISTOL CONSOLIDATED SCHOOLS,263,4665
BRISTOL LOCAL SCH DIST,501,8369
BRISTOL PLYMTH VOC TECH REG SC,1288,28470
BRISTOL SCHOOL DISTRICT 1,851,10515
BRISTOL TWP SCH DIST,6358,147107
BRISTOL-WARREN REGIONAL SCHOOL DISTRICT,3232,62697
BRISTOW SCH DIST 2,1747,16711
BRITTAN ELEMENTARY SCHOOL DISTRICT,464,5695
BRITTON DEERFIELD SCHOOLS,533,6622
BRITTON-HECLA SCHOOL DISTRICT 45-4,419,5949
BROADALBIN-PERTH CENTRAL SCHOOL,1802,37892
BROADDUS IND SCH DIST 902,396,6598
BROADUS ELEM SCH DIST 79J,130,2482
BROADUS H S DIST 79J,64,2282
BROADVIEW ELEM SCH DIST 21J,98,1535
BROADVIEW H S DIST 21-J,40,1036
BROCK IND SCH DIST 909,1510,17289
BROCKPORT CENTRAL SCH DIST,3428,81931
BROCKTON CITY SCH,16349,284296
BROCKTON H S DIST 55F,35,1485
BROCKWAY AREA SCH DIST,956,16202
BROCTON CENTRAL SCHOOL DIST,577,19107
BROCTON ELEM SCH DIST 55,100,2254
BRODHEAD SCHOOL DISTRICT,1018,14080
BROKEN ARROW SCH DIST 3,19070,184417
BROKEN BOW CITY SD 25,860,12578
BROKEN BOW SCH DIST 74,1596,15829
BRONAUGH SCH DIST R 7,177,2298
BRONSON COMM SCHOOLS,1049,11238
BRONTE IND SCH DISTRICT 901,243,3573
BRONXVILLE UNION FREE SCHOOL DISTRICT,1618,51364
BROOKE CO SCH DIST,2833,41219
BROOKELAND IND SCH DIST 902,394,5841
BROOKESMITH RURAL IND SCH DIST 908,165,2506
BROOKFIELD CENTRAL SCH DIST,243,6443
BROOKFIELD LOCAL SCH DIST,971,12881
BROOKFIELD SCH DIST R3,962,11203
BROOKFIELD SCHOOL DISTRICT 95,1211,18527
BROOKFIELD TOWN SCHOOLS,2619,54650
BROOKFIELD TOWN SCHS,316,4714
BROOKHAVEN MUN SEP SCH DIST,2824,29784
BROOKHAVEN-COMSEWOGUE UNION FREE SCH DIST,3770,93980
BROOKINGS SCHOOL DISTRICT 5-1,3403,38009
BROOKINGS-HARBOR SCH DIST 17C,1557,22078
BROOKLAND SCH DIST,2709,26026
BROOKLAWN BORO SCH DIST,314,7171
BROOKLIN TOWN SCHOOLS,83,2003
BROOKLINE TOWN SCH DIST,574,9723
BROOKLINE TOWN SCHS,7855,226317
BROOKLINE/NEWFANE JOINT SCHOOL CONTRACT,158,2406
BROOKLYN CENTER SCH DIST 286,2492,41364
BROOKLYN CITY SCH DIST,1287,19929
BROOKLYN SCHOOL DISTRICT 188,162,3176
BROOKLYN TOWN SCHOOLS,910,21957
BROOKLYN-GUERNSEY-MALCOM COMMUNITY SCHOOL DISTRICT,592,8863
BROOKS CO SCH DIST,2168,27581
BROOKS IND SCH DISTRICT 901,1568,22129
BROOKSVILLE TOWN SCHOOLS,92,1900
BROOKVILLE AREA SCH DIST,1500,26841
BROOKVILLE SCH DIST,1477,18470
BROOKWOOD SCHOOL DISTRICT 167,1126,21908
BRORSON ELEM DIST 11,7,326
BROWARD COUNTY SCHOOL DISTRICT,270978,2917311
BROWERVILLE SCH DIST 787,566,8255
BROWN CITY COMMUNITY SCHOOLS,778,9476
BROWN COUNTY COMMUNITY UNIT SCHOOL DISTRICT 1,717,11067
BROWN COUNTY CONSOLIDATED SCHOOL CORPORATION,1904,29575
BROWN DEER SCHOOL DISTRICT,1521,28959
BROWN LOCAL SCH DIST,617,10019
BROWNFIELD IND SCH DIST 901,1730,22261
BROWNING ELEM SCH DIST 9,1400,31230
BROWNING H S DIST 9,615,11050
BROWNINGTON CENTRAL SCH DIST,116,1742
BROWNS ELEM SCH DIST,132,1697
BROWNS VALLEY IND SCHOOL DIST 801,173,2607
BROWNSBORO IND SCH DIST 902,2734,30573
BROWNSBURG COMMUNITY SCHOOL CORPORATION,9296,115638
BROWNSTOWN CENTRAL COMMUNITY SCHOOL CORPORATION,1593,17862
BROWNSTOWN COMMUNITY UNIT SCHOOL DISTRICT 201,373,6050
BROWNSVILLE AREA SCHOOL DIST,1579,29957
BROWNSVILLE IND SCH DIST 901,44402,525535
BROWNWOOD IND SCH DIST 902,3655,38956
BRUCE SCHOOL DISTRICT,441,7512
BRUCEVILLE EDDY IND SCH DISTRICT 919,645,8555
BRUNEAU-GRAND VIEW JOINT SCH DISTRICT 365,300,5510
BRUNING-DAVENPORT UNIFIED SYSTEM,190,4782
BRUNSWICK CENTRAL SCHOOL DIST,1184,25837
BRUNSWICK CITY SCH DIST,7000,91056
BRUNSWICK CO SCH,1616,22902
BRUNSWICK CO SCH,12531,176745
BRUNSWICK SCH DIST R 2,271,4210
BRUNSWICK SCHOOL,2330,39990
BRUSH SCH DIST R 2J,1478,37994
BRUSHTON MOIRA CTL SCH,821,20207
BRUSHY SCH DIST 36,397,3633
BRUSSELS COMMUNITY UNIT SCHOOL DISTRICT 42,121,2303
BRYAN CITY SCH DIST,1926,27069
BRYAN CO SCH DIST,9634,101682
BRYAN IND SCH DISTRICT 902,15938,191733
BRYANT SCH DIST 25,9277,120216
BRYON BERGEN CENTRAL SCH,913,24590
BRYSON IND SCH DIST 901,253,4479
BUCHANAN CO R4,315,4395
BUCHANAN CO SCH DIST,2758,35286
BUCHANAN COMMUNITY SCHS,1573,18460
BUCKEYE CENT LOC SCH DIST,587,13947
BUCKEYE LOCAL SCH DIST,1737,20826
BUCKEYE LOCAL SCH DIST,1574,22359
BUCKEYE LOCAL SCH DIST,2330,28607
BUCKEYE SCHOOL DISTRICT 33,5492,49017
BUCKEYE UNION HIGH SCHOOL DISTRICT 201,4354,44779
BUCKEYE UNION SCH DIST,4706,64466
BUCKEYE VALLEY LOCAL SCH DIST,2201,34131
BUCKHOLTS IND SCH DIST 907,133,2361
BUCKINGHAM CO SCHS,2127,25129
BUCKLEY COMM SCHOOL DIST,409,4774
BUCKLIN SCH DIST R 2,126,2176
BUCKLIN UNIFIED SCHOOL DISTRICT 459,246,3695
BUCYRUS CITY SCH DIST,1234,21784
BUELLTON UNION ELEM SCH DIST,612,13167
BUENA PARK ELEM SCH DIST,4552,68526
BUENA REGIONAL SCH DIST,1707,45694
BUENA VISTA CITY SCHS,918,11364
BUENA VISTA ELE SCH DIST,215,2623
BUENA VISTA IND SCH DIST 901,255,4873
BUENA VISTA SCH DIST R-31,1089,20282
BUFFALO CITY SCH DIST,33756,1063839
BUFFALO IND SCH DIST 901,945,11901
BUFFALO ISLAND CENTRAL SCH DT,762,11828
BUFFALO LAKE-HECTOR ISD 2159,504,7089
BUFFALO SCH DIST 4,309,3612
BUFFALO SCH DIST 877,5860,82363
BUFFALO SCH DIST RE 4,303,4461
BUFFALO VALLEY SCH DIST 3,143,1614
BUFORD IND SCH DIST,4966,80869
BUHL JOINT SCHOOL DISTRICT 412,1317,11797
BUHLER UNIFIED SCHOOL DISTRICT 313,2366,28770
BULLARD IND SCH DIST 902,2587,31095
BULLHEAD CITY SCHOOL DISTRICT 15,2692,21235
BULLITT CO SCH DIST,13160,153041
BULLOCH CO SCH DIST,10646,124859
BULLOCK COUNTY SCHOOL DISTRICT,1438,16170
BULLOCK CREEK SCH DIST,1833,22366
BUNA IND SCH DIST 903,1495,18315
BUNCOMBE CONSOLIDATED SCHOOL DISTRICT 43,60,913
BUNCOMBE COUNTY SCHOOLS,23677,279988
BUNKER HILL COMMUNITY UNIT SCHOOL DISTRICT 8,586,7821
BUNKER SCH DIST R 3,232,3745
BURBANK SCHOOL DISTRICT 111,3514,60254
BURBANK UNIFIED SCHOOL DISTRICT,15203,207773
BUREAU VALLEY COMMUNITY UNIT SCHOOL DISTRICT 340,1072,17379
BURGETTSTOWN AREA SCHOOL DIST,1066,21311
BURGIN IND SCH DIST,510,6470
BURKBURNET IND SCH DIST 901,3227,38332
BURKE CENTRAL SCH DIST 36,85,2406
BURKE CO SCH DIST,4158,75020
BURKE COUNTY BOARD OF EDUCATION,12230,119286
BURKE SCHOOL DISTRICT 26-2,260,3453
BURKEVILLE IND SCH DIST 901,276,4708
BURLESON IND SCH DIST 902,12447,146223
BURLINGAME ELEM SCH DIST,3510,52327
BURLINGAME UNIFIED SCHOOL DISTRICT 454,304,4114
BURLINGTON AREA SCHOOL DISTRICT,3145,49611
BURLINGTON CITY SCHOOL DISTRICT,1659,43449
BURLINGTON COMMUNITY SCHOOL DISTRICT,3652,59053
BURLINGTON COUNTY VOCATIONAL SCHOOL DISTRICT,2091,49272
BURLINGTON EDISON SCHOOL DISTRICT 100,3559,62595
BURLINGTON PUBLIC SCH,3533,91360
BURLINGTON SCH DIST,3862,92431
BURLINGTON SCH DIST 1,130,3334
BURLINGTON SCH DIST RE-6J,788,8769
BURLINGTON TWP SCH DIST,3761,80780
BURLINGTON UNIFIED SCHOOL DISTRICT 244,833,18438
BURNET CONS IND SCH DISTRICT 903,3201,43025
BURNHAM SCHOOL DISTRICT 154-5,196,2793
BURNS FLAT-DILL CITY SCH DIST 10,582,5817
BURNSVILLE SCH DIST 191,8874,155727
BURNT HILLS BALLSTON LAKE CENTRAL SCH DIST,3087,72980
BURNT RANCH ELEM SCH DIST,84,14576
BURNT RIVER SCH DIST 30J,62,1668
BURR OAK COMM SCHOOL DIST 437,287,3328
BURREL UNION ELEM SCH DIST,122,2052
BURRELL SCHOOL DIST,1803,30766
BURRILLVILLE TOWN SCHS,2277,38148
BURRTON UNIFIED SCHOOL DISTRICT 369,228,3619
BURT TWP SCH DIST,33,1058
BURTON ELEM SCH DIST,4887,81177
BURTON IND SCH DIST 903,437,6937
BURWELL JR SR HIGH SCHOOL DIST 100,319,5394
BUSHLAND IND SCH DIST 904,1427,20283
BUSHNELL PRAIRIE CITY COMMUNITY UNIT SCHOOL DISTRICT 170,671,10125
BUTLER AREA SCH DIST,6291,105918
BUTLER BORO SCH DIST,1221,29709
BUTLER CO SCH DIST,2272,25138
BUTLER COUNTY SCHOOL DISTRICT,3015,32429
BUTLER SCH DIST R 5,1010,11570
BUTLER SCHOOL DISTRICT 53,523,13248
BUTNER SCH DIST 15,240,2885
BUTTE CO SPL SCHS OPER BY CO SUPT,408,97111
BUTTE COUNTY JOINT SCHOOL DISTRICT 111,429,4414
BUTTE ELEM SCH DIST 1,3018,32281
BUTTE FALLS SCH DIST 91,218,4329
BUTTE H S DIST 1,1208,18463
BUTTE VALLEY UNIF SCH DIST,303,5263
BUTTERFIELD SCH DIST 836,208,3299
BUTTERNUT JOINT SCHOOL DISTRICT 1,206,3849
BUTTEVILLE ELEM SCH DIST,195,2413
BUTTONWILLOW UNION ELEM SCH DT,326,6112
BUTTS CO SCH DIST,3481,41242
BYERS SCH DIST 32 J,2916,24415
BYNG SCH DIST 16,1826,17430
BYNUM ELEM DIST 12,24,292
BYNUM IND SCH DIST 902,207,3108
BYRAM TWP SCH DIST,815,19098
BYRON AREA SCHOOLS,835,9458
BYRON CENTER PUBLIC SCHOOL DIST,4157,59243
BYRON COMMUNITY UNIT SCHOOL DISTRICT 226,1525,35637
BYRON IND SCH DIST 531,2114,28043
BYRON UNION ELEM SCH DIST,1475,21557
BYRUM HILLS-C.S.D.,2319,93595
C A BEARD MEMORIAL SCHOOL CORPORATION,1069,13414
CABARRUS CO SCH,33089,362999
CABELL CO SCH DIST,12517,169125
CABOOL SCH DIST R-4,769,8198
CABOT SCHOOL DISTRICT 4,10624,103962
CABOT TOWN SCH DIST,166,3690
CABRILLO UNIFIED SCHOOL DISTRICT,3152,50750
CACHE SCH DIST 1,1992,21336
CACHE SCHOOL DISTRICT,18778,173797
CADDO HILLS SCH DIST 28,587,6236
CADDO MILLS IND SCH DIST 901,1841,21191
CADDO PARISH SCHOOL DISTRICT,38199,503600
CADDO SCH DIST 5,496,5055
CADILLAC AREA PUBLIC SCHOOLS,3136,38788
CADOTT COMMUNITY SCHOOL DISTRICT,830,13870
CAESAR RODNEY SCHOOL DISTRICT,8018,131779
CAHOKIA COMMUNITY UNIT SCHOOL DISTRICT 187,3310,69609
CAINSVILLE SCH DIST R 1,78,1508
CAIRO UNIT SCHOOL DISTRICT 1,311,8160
CAIRO-DURHAM CENTRAL SCH DIST,1238,31955
CAJON VALLEY UNION SCHOOL DISTRICT,16666,254298
CAL COMMUNITY SCHOOL DISTRICT,152,4494
CALAIS SCHOOL DEPARTMENT,568,9476
CALAIS TOWN SCH DIST,125,2141
CALALLEN IND SCH DIST 903,4051,55072
CALAMUS-WHEATLAND COMMUNITY SCHOOL DISTRICT,471,6878
CALAVERAS CO SPL SCHS OPER BY CO SUPT,498,18289
CALAVERAS UNI SCH DIST,2814,38909
CALCASIEU PARISH SCHOOL DISTRICT,31902,449005
CALDWELL CO SCH DIST,1984,23273
CALDWELL COUNTY SCHOOLS,11621,116787
CALDWELL EX VLG SCH DIST,828,11965
CALDWELL IND SCH DIST 901,1762,22622
CALDWELL PARISH SCHOOL DISTRICT,1515,22145
CALDWELL SCHOOL DISTRICT 132,6673,56365
CALDWELL UNIFIED SCHOOL DISTRICT 360,276,4397
CALDWELL-W CALDWELL SCH DIST,2663,59154
CALEDONIA COMM SCH DIST,4840,67928
CALEDONIA COOPERATIVE UNIFIED UNION SCH DIST,600,11731
CALEDONIA IN SCHOOL DISTRICT 299,718,12547
CALEDONIA-MUMFORD CTL SCH DIST,822,18926
CALERA SCH DIST 48,779,7694
CALEXICO UNIF SCH DIST,9246,144501
CALHAN SCH DIST R JT 1,467,5409
CALHOUN CO IND SCH DIST 901,3846,61062
CALHOUN CO SCH DIST,545,8791
CALHOUN CO SCH DIST,971,12939
CALHOUN COMMUNITY UNIT SCHOOL DISTRICT 40,483,7900
CALHOUN COUNTY SCHOOL DISTRICT,2500,22135
CALHOUN COUNTY SCHOOL DISTRICT,2180,30705
CALHOUN COUNTY SCHOOL DISTRICT,8548,91988
CALHOUN COUNTY SCHOOL DISTRICT 1,1690,26058
CALHOUN IND SCH DIST,4102,46693
CALHOUN SCH DIST R 8,143,2349
CALICO ROCK SCH DIST,367,4764
CALIENTE UNION ELEM SCH DIST,49,927
CALIFON BORO SCH DIST,77,3190
CALIFORNIA AREA SCH DIST,852,16081
CALIPATRIA UNIFIED SCH DIST,1136,20491
CALISTOGA JT UNI SCH DIST,865,19998
CALLAO CONS SCH DIST C-8,56,1023
CALLAWAY CNTY SCHOOL DIST R-3,684,7295
CALLAWAY SCH DIST 180,221,4374
CALLISBURG IND SCH DISTRICT 905,1152,14309
CALLOWAY CO SCH DIST,3050,35318
CALUMET CITY SCHOOL DISTRICT 155,1147,19174
CALUMET SCH DIST 76,269,8301
CALUMET SCHOOL DISTRICT 132,1015,19477
CALVERT CO SCHS,15936,266178
CALVERT IND SCH DIST 902,166,2483
CALVIN SCH DIST 48,178,2876
CAM COMMUNITY SCHOOL DISTRICT,1121,11579
CAMANCHE COMMUNITY SCHOOL DISTRICT,982,13583
CAMAS COUNTY SCHOOL DISTRICT 121,171,2750
CAMAS SCHOOL DISTRICT 117,7452,137615
CAMAS VALLEY SCH DIST 21,219,3539
CAMBRIA HEIGHTS SCHOOL DIST,1313,22977
CAMBRIA-FRIESLAND SCHOOL DISTRICT,371,6913
CAMBRIAN SCHOOL DISTRICT,3471,42298
CAMBRIDGE CENTRAL SCHOOL DISTRICT,855,23055
CAMBRIDGE CITY SCH DIST,1952,26315
CAMBRIDGE CITY SCHOOLS,7052,262156
CAMBRIDGE COMMUNITY UNIT SCHOOL DISTRICT 227,470,7353
CAMBRIDGE JOINT SCH DISTRICT 432,131,2646
CAMBRIDGE SCH DIST 21,330,4891
CAMBRIDGE SCHOOL DISTRICT,333,5820
CAMBRIDGE SCHOOL DISTRICT,908,14024
CAMBRIGE SANTI SCH DIST 911,5040,66108
CAMDEN CENTRAL SCH DIST,2124,52502
CAMDEN CITY SCH DIST,7638,398098
CAMDEN CO SCH,1892,19525
CAMDEN CO SCH DIST,9350,105284
CAMDEN COUNTY VOCATIONAL SCHOOL DISTRICT,2099,52569
CAMDEN FRONTIER SCH DIST,504,5946
CAMDEN-FAIRVIEW SCHOOL DIST,2461,27308
CAMDENTON SCH DIST R-3,4186,53559
CAMERON CO SCHOOL DIST,534,13117
CAMERON IND SCH DIST 901,1783,20015
CAMERON PARISH SCHOOL DISTRICT,1341,23553
CAMERON SCH DIST 17,288,6981
CAMERON SCH DIST R 1,1747,19375
CAMERON VILLAGE JOINT SCHOOL DISTRICT 1,1149,16118
CAMINO UNION ELEM,474,5959
CAMP HILL SCH DIST,1335,24571
CAMP VERDE UNIFIED SCHOOL DISTRICT 28,1576,13484
CAMPBELL CITY SCH DIST,1077,21163
CAMPBELL CO SCH,7890,88988
CAMPBELL CO SCH DIST,4898,64575
CAMPBELL CO SCH DIST,8721,159874
CAMPBELL CO SCHOOL DIST,5436,54044
CAMPBELL IND SCH DIST,304,4142
CAMPBELL SCH DIST R 2,547,5654
CAMPBELL UNION HIGH SCHOOL DIST,8271,181461
CAMPBELL UNION SCHOOL DISTRICT,7273,123375
CAMPBELL-SAVONA SCHOOL DISTRICT,858,23981
CAMPBELLSPORT SCHOOL DISTRICT,1335,20531
CAMPBELLSVILLE IND SCH,1156,15693
CAMPBELL-TINTAH SCH DIST 852,144,2635
CAMPO SCH DIST RE 6,46,1221
CAMPTON TOWN SCH DIST,309,6277
CAMPTONVILLE UNION SCH DIST,48,1018
CANAAN TOWN SCH DIST,197,3619
CANAAN TOWN SCHOOLS,63,2731
CANADIAN IND SCH DIST 901,906,24880
CANADIAN SCH DIST 2,401,4923
CANAJOHARIE CENTRAL SCH,940,23290
CANAL WINCHESTER LO SCH DIST,3887,60801
CANANDAIGUA CTY SCH DIST,3481,79495
CANASERAGA CENTRAL SCH DIST,240,7294
CANASTOTA CENTRAL SCHOOL DIST,1342,31601
CANBY IND SCH DIST 891,579,8205
CANBY SCH DIST 86,4756,63321
CANDIA TOWN SCH DIST,304,8567
CANDLER CO SCH DIST,2251,26034
CANDOR CENTRAL SCHOOL DISTRICT,740,19395
CANEY SCH DIST 26,233,3425
CANEY VALLEY SCH DIST 18,832,8180
CANEY VALLEY UNIFIED SCHOOL DISTRICT 436,771,9966
CANFIELD LOCAL SCH DIST,2563,31261
CANISTEO-GREENWOOD CENTRAL SCHOOL DISTRICT,1018,24597
CANISTOTA SCHOOL DISTRICT 43-1,196,3160
CANNELTON CITY SCHOOLS,279,2940
CANNON CO SCH DIST,1979,18995
CANNON FALLS SCHOOL DIST 252,1158,16590
CANON CITY SCH DIST RE-1,3503,54311
CANON ELEMENTARY SCHOOL DISTRICT 50,135,2240
CANON MCMILLAN SCHOOL DISTRICT,5341,90676
CANTERBURY TOWN SCHOOLS,465,14653
CANTON AREA SCH DIST,885,16750
CANTON CENTRAL SCH DIST,1348,30647
CANTON CITY SCH DIST,8422,150380
CANTON GALVA UNIFIED SCHOOL DISTRICT 419,342,5696
CANTON IND SCH DIST 902,2176,23705
CANTON LOCAL SCH DIST,2075,35384
CANTON PUBLIC SCHOOL DIST,3391,39003
CANTON SCH DIST 105,347,7641
CANTON SCHOOL DISTRICT 41-1,866,9685
CANTON SCHOOL DISTRICT 66,2389,23678
CANTON SCHOOL DISTRICT R-V,489,5895
CANTON TOWN SCH,3272,68762
CANTON TOWN SCHOOLS,1550,34356
CANUTE SCH DIST 11,376,3846
CANUTILLO SCH DISTRICT 907,6246,81235
CANYON CREEK ELEM DIST 4,255,2547
CANYON ELEM SCH DIST,68,954
CANYON IND SCH DIST 901,10166,100975
CANYONS SCHOOL DISTRICT,35330,354800
CAPAC COMMUNITY SCH DIST,889,10782
CAPAY JT UNION ELEM SCH DIST,199,2442
CAPE COD REG VOC TECH SCH,571,23922
CAPE ELIZABETH TOWN SCHOOLS,1578,27356
CAPE FLATTERY SCHOOL DISTRICT 401,508,12528
CAPE GIRARDEAU PUBLIC SCH DIST 63,4283,58629
CAPE HENLOPEN SCHOOL  DISTRICT,5643,152238
CAPE MAY CITY SCHOOL DIST,153,5194
CAPE MAY COUNTY VOCATIONAL SCHOOL DISTRICT,561,18867
CAPISTRANO UNIFIED SCH DIST,47205,602938
CAPITAL SCHOOL DISTRICT,6519,114488
CAPITAN SCHOOL DISTRICT,500,8027
CARBON CLIFF-BARSTOW SCHOOL DISTRICT 36,274,4970
CARBON CO SCH DIST,3607,39973
CARBON CO SCH DIST 1,1750,39137
CARBON CO SCH DIST 2,604,18606
CARBONADO SCHOOL DISTRICT 19,195,5670
CARBONDALE AREA SCH DIST,1508,26793
CARBONDALE COMMUNITY HIGH SCHOOL DISTRICT 165,992,19002
CARBONDALE ELEM SCHOOL DISTRICT 95,1485,30853
CARDIFF ELEM SCH DIST,695,13879
CARDINAL COMMUNITY SCHOOL DISTRICT,1002,11749
CARDINAL LOCAL SCH DIST,894,17317
CARDINGTON-LINCOLN SCHOOL DIST,1071,14787
CARDWELL ELEM DIST 16-31,37,588
CAREY EX VLG SCH DIST,859,12283
CARL JUNCTION SCHOOL DISTRICT R-1,3334,32176
CARLE PLACE UF SCHOOL DIST,1334,51691
CARLINVILLE COMMUNITY UNIT SCHOOL DISTRICT 1,1429,17885
CARLISLE AREA SCH DIST,5091,89924
CARLISLE CO SCH DIST,790,10793
CARLISLE COMMUNITY SCHOOL DISTRICT,2263,26799
CARLISLE IND SCH DIST 913,618,8269
CARLISLE LOCAL SCH DIST,1599,26592
CARLISLE SCH DIST,691,7600
CARLISLE TOWN SCHOOL,600,16095
CARLSBAD SCHOOL DISTRICT,8015,128004
CARLSBAD UNIF SCHOOL DISTRICT,11428,156432
CARLSTADT BORO SCH DIST,562,15192
CARLSTODT-EAST RUTHERFORD REGIONAL HIGH SCHOOL DISTRICT,516,16550
CARLTON IND SCH DIST 93,435,6927
CARLYLE COMMUNITY UNIT SCHOOL DISTRICT 1,1008,14685
CARLYNTON SCHOOL DIST,1337,29608
CARMAN-AINSWORTH CMTY SCHS,4708,57106
CARMEL CENTRAL SCHOOL DISTRICT,4078,127732
CARMEL CLAY SCHOOLS,16352,212808
CARMEL UNIFIED SCH DIST,2467,68929
CARMI COMMUNITY UNIT SCHOOL DISTRICT 5,1444,20241
CARMICHAELS AREA SCHOOL DIST,1083,18355
CARNEGIE SCH DIST 33,554,6234
CARNEY NADEAU PUB SCHS,287,3523
