FID,AID,Year,Julianday,Hour,Minute,Activity,Temperatur,Latitude,Longitude,HDOP,NumSats,FixTime,2D_3D,POINT_X,POINT_Y
31,31351,2013,146,10,0,30,26,59.348140000000001,-122.153160000000000,1.100000000000000,7,52,3,548160.042182000000000,6579124.839289999600000
32,31351,2013,146,10,30,20,26,59.348500000000001,-122.155019999999990,2.100000000000000,5,27,3,548053.758494999960000,6579163.582010000000000
33,31351,2013,146,11,0,0,27,59.348599999999998,-122.155210000000000,2.200000000000000,5,22,3,548042.812375999990000,6579174.580009999700000
34,31351,2013,146,11,30,0,27,59.348709999999997,-122.154990000000000,1.600000000000000,5,27,3,548055.167820999980000,6579186.987320000300000
35,31351,2013,146,12,0,0,29,59.348619999999997,-122.155600000000010,2.600000000000000,6,33,3,548020.605791999960000,6579176.525750000000000
36,31351,2013,146,12,30,0,29,59.348630000000000,-122.155240000000010,2.100000000000000,4,27,3,548041.063975999950000,6579177.898889999800000
37,31351,2013,146,13,0,2,29,59.348559999999999,-122.154390000000010,1.600000000000000,5,35,3,548089.500325000030000,6579170.717799999800000
38,31351,2013,146,13,30,0,29,59.348559999999999,-122.154979999999990,2.600000000000000,5,22,3,548055.948429999990000,6579170.291919999800000
39,31351,2013,146,14,1,5,29,59.348520000000001,-122.154960000000000,2.000000000000000,6,80,3,548057.142299999950000,6579165.852319999600000
40,31351,2013,146,14,30,29,24,59.348810000000000,-122.155400000000000,2.400000000000000,6,22,3,548031.710978999970000,6579197.826630000000000
41,31351,2013,146,15,2,36,23,59.346159999999998,-122.159730000000000,4.000000000000000,5,120,2,547789.199007999970000,6578899.632090000400000
42,31351,2013,146,15,30,30,23,59.343629999999997,-122.162980000000000,2.100000000000000,5,37,3,547607.906711000020000,6578615.586969999600000
43,31351,2013,146,16,0,27,25,59.343330000000002,-122.163810000000000,2.900000000000000,4,24,3,547561.119112999990000,6578581.588730000000000
44,31351,2013,146,16,32,24,25,59.342190000000002,-122.169079999999990,2.200000000000000,3,120,2,547262.963977999990000,6578450.897250000400000
45,31351,2013,146,17,0,5,25,59.339160000000000,-122.170779999999990,2.300000000000000,4,32,3,547170.471428000020000,6578112.299019999800000
46,31351,2013,146,17,31,13,25,59.333410000000001,-122.177380000000000,2.500000000000000,5,63,3,546802.948313000030000,6577467.375919999600000
47,31351,2013,146,18,0,48,21,59.333539999999999,-122.195800000000010,3.100000000000000,4,38,3,545754.801374000030000,6577469.053620000400000
48,31351,2013,146,18,30,37,18,59.337910000000001,-122.198240000000000,2.500000000000000,4,38,3,545610.124923000000000,6577953.984559999800000
49,31351,2013,146,19,0,24,19,59.339199999999998,-122.198750000000000,2.000000000000000,4,22,3,545579.385156000030000,6578097.278470000300000
50,31351,2013,146,19,30,24,20,59.341659999999997,-122.202730000000000,1.400000000000000,6,53,3,545349.709454000000000,6578368.485770000100000
51,31351,2013,146,20,0,67,19,59.343310000000002,-122.209320000000010,5.100000000000000,4,22,3,544972.692291000040000,6578547.747039999800000
52,31351,2013,146,21,0,69,16,59.340539999999997,-122.214100000000000,2.700000000000000,4,27,3,544704.460916999960000,6578236.085640000200000
53,31351,2013,146,21,30,12,16,59.338110000000000,-122.215720000000000,3.300000000000000,4,22,3,544615.499229999960000,6577964.415459999800000
54,31351,2013,146,22,1,5,16,59.339080000000003,-122.217940000000000,2.600000000000000,4,82,3,544487.945131000010000,6578070.941410000400000
55,31351,2013,146,22,31,17,16,59.339089999999999,-122.218140000000010,3.000000000000000,4,58,3,544476.555279999970000,6578071.921360000000000
56,31351,2013,146,23,0,0,21,59.339179999999999,-122.218580000000000,4.000000000000000,4,22,3,544451.408793000040000,6578081.649260000300000
57,31351,2013,146,23,31,2,22,59.339179999999999,-122.218549999999990,1.500000000000000,5,70,3,544453.115304999980000,6578081.669280000000000
58,31351,2013,147,0,0,2,25,59.339199999999998,-122.218549999999990,2.100000000000000,5,22,3,544453.089175999980000,6578083.896309999700000
59,31351,2013,147,0,30,0,25,59.339030000000001,-122.218459999999990,1.600000000000000,4,22,3,544458.430835000010000,6578065.026630000200000
60,31351,2013,147,1,0,0,29,59.339170000000003,-122.218780000000000,1.600000000000000,5,47,3,544440.045107000040000,6578080.402280000000000
61,31351,2013,147,1,30,2,25,59.339230000000001,-122.218500000000010,2.200000000000000,5,22,3,544455.894164000060000,6578087.270220000300000
62,31351,2013,147,2,0,1,25,59.339080000000003,-122.218580000000000,1.800000000000000,7,40,3,544451.539436000050000,6578070.514109999900000
63,31351,2013,147,2,30,8,25,59.339199999999998,-122.218520000000000,1.600000000000000,7,22,3,544454.795687000030000,6578083.916330000400000
64,31351,2013,147,3,0,0,27,59.339230000000001,-122.218590000000010,1.300000000000000,6,22,3,544450.774635000040000,6578087.210160000200000
65,31351,2013,147,3,30,2,25,59.339289999999998,-122.218549999999990,1.200000000000000,6,27,3,544452.971592999990000,6578093.917940000100000
66,31351,2013,147,4,0,0,25,59.339140000000000,-122.218540000000000,1.500000000000000,7,43,3,544453.736401999950000,6578077.221889999700000
67,31351,2013,147,4,30,3,25,59.339050000000000,-122.218450000000000,2.200000000000000,5,33,3,544458.973542000050000,6578067.260330000000000
68,31351,2013,147,5,0,0,30,59.339230000000001,-122.218570000000000,1.800000000000000,5,22,3,544451.912308000030000,6578087.223500000300000
69,31351,2013,147,5,30,0,30,59.339230000000001,-122.218520000000000,1.900000000000000,4,22,3,544454.756490999950000,6578087.256869999700000
70,31351,2013,147,6,0,0,30,59.339219999999997,-122.218570000000000,1.500000000000000,6,37,3,544451.925372999980000,6578086.109989999800000
71,31351,2013,147,6,31,19,25,59.338400000000000,-122.217429999999990,1.800000000000000,5,43,3,544517.845591000050000,6577995.563190000100000
72,31351,2013,147,7,0,25,22,59.335149999999999,-122.212970000000000,2.200000000000000,5,32,3,544775.829020999950000,6577636.660779999600000
73,31351,2013,147,7,30,50,21,59.332630000000002,-122.212130000000000,2.600000000000000,5,22,3,544826.936168999990000,6577356.620509999800000
74,31351,2013,147,8,0,15,23,59.332610000000003,-122.212280000000010,2.200000000000000,5,28,3,544818.428309999990000,6577354.292550000400000
75,31351,2013,147,8,30,16,25,59.331829999999997,-122.210800000000010,2.600000000000000,4,22,3,544903.661506999980000,6577268.435340000300000
76,31351,2013,147,9,1,45,19,59.326309999999999,-122.207530000000010,1.400000000000000,5,59,3,545097.023973000000000,6576655.985969999800000
77,31351,2013,147,9,30,57,20,59.319000000000003,-122.209480000000000,1.900000000000000,5,27,3,544995.718378999970000,6575840.691200000200000
78,31351,2013,147,10,2,14,22,59.313090000000003,-122.216830000000000,2.000000000000000,4,120,2,544585.111627000030000,6575177.665289999900000
79,31351,2013,147,10,31,6,22,59.312660000000001,-122.215430000000000,2.200000000000000,5,72,3,544665.373764000020000,6575130.722099999900000
80,31351,2013,147,11,0,23,23,59.310060000000000,-122.213460000000000,2.100000000000000,5,22,3,544780.939968000050000,6574842.532080000300000
81,31351,2013,147,11,30,1,28,59.310049999999997,-122.213620000000010,1.600000000000000,5,47,3,544771.843929999970000,6574841.311040000100000
82,31351,2013,147,12,30,6,29,59.310090000000002,-122.213720000000000,2.700000000000000,5,40,3,544766.098125000020000,6574845.697879999900000
83,31351,2013,147,13,0,13,27,59.309860000000000,-122.212720000000000,3.500000000000000,4,22,3,544823.333090999980000,6574820.759510000200000
84,31351,2013,147,13,30,17,26,59.308570000000003,-122.211330000000000,3.800000000000000,4,52,3,544904.169940999940000,6574678.052869999800000
85,31351,2013,147,14,0,14,27,59.307720000000003,-122.207790000000000,2.700000000000000,4,22,3,545106.844718000040000,6574585.795909999900000
86,31351,2013,147,14,31,5,29,59.307180000000002,-122.207030000000000,1.600000000000000,7,71,3,545150.831927999970000,6574526.181260000000000
